accountNumber,acqCountry,availableMoney,cardCVV,cardLast4Digits,cardPresent,creditLimit,currentBalance,customerId,enteredCVV,expirationDateKeyInMatch,isFraud,merchantCategoryCode,merchantCountryCode,merchantName,posConditionCode,posEntryMode,transactionAmount,transactionType,accountOpenDate_year,accountOpenDate_month,accountOpenDate_day,transactionDateTime_year,transactionDateTime_month,transactionDateTime_day,transactionDateTime_hour,transactionDateTime_minute,transactionDateTime_second,currentExpDate_year,currentExpDate_month,currentExpDate_day,dateOfLastAddressChange_year,dateOfLastAddressChange_month,dateOfLastAddressChange_day
173544488,3,3060.76,711,460,1,7500.0,4439.24,173544488,711,0,0,3,3,1535,0,1,455.25,1,2014,4,12,2016,1,30,22,45,7,2019,9,1,2014,4,12
109517864,3,250.0,912,4842,1,250.0,0.0,109517864,912,0,0,7,3,1117,0,3,53.56,1,2014,11,7,2016,10,28,2,14,48,2024,3,1,2014,11,7
937106980,3,8272.83,312,92,1,15000.0,6727.17,937106980,312,0,0,3,3,26,0,2,319.4,1,2014,3,23,2016,10,9,12,0,17,2022,4,1,2016,9,16
942524230,3,5289.4,379,1683,1,7500.0,2210.6,942524230,379,0,0,5,3,180,1,1,12.76,1,2008,11,16,2016,1,8,4,17,52,2028,11,1,2008,11,16
899404344,3,3942.77,279,8069,1,5000.0,1057.23,899404344,279,0,0,1,3,1104,0,1,34.51,1,2012,3,22,2016,11,9,11,35,49,2019,5,1,2012,3,22
428892294,3,482.7,654,4737,0,2500.0,2017.3,428892294,654,0,0,13,3,161,0,1,145.76,1,2014,5,24,2016,7,6,2,59,46,2021,3,1,2016,5,2
903360157,3,6356.47,722,7104,1,50000.0,43643.53,903360157,722,0,0,3,3,1536,0,0,124.96,1,2015,3,28,2016,3,14,15,25,23,2024,12,1,2015,3,28
318001076,3,32297.71,633,1789,0,50000.0,17702.29,318001076,633,0,0,14,3,2475,0,1,107.5,1,2015,12,11,2016,10,5,15,44,41,2023,5,1,2016,10,1
456044564,3,508.42,746,5658,1,10000.0,9491.58,456044564,746,0,0,5,3,183,0,2,2.14,1,2012,10,5,2016,12,12,1,2,14,2022,2,1,2016,11,20
341256661,3,193.89,484,0,1,250.0,56.11,341256661,484,0,0,5,3,597,1,2,65.24,1,2014,2,24,2016,6,12,19,10,47,2023,3,1,2016,1,21
476207950,3,645.08,868,4097,0,1000.0,354.92,476207950,868,0,0,12,3,43,0,1,5.81,1,2012,4,2,2016,2,24,14,38,58,2023,9,1,2012,4,2
348712588,3,14023.69,405,3474,0,15000.0,976.31,348712588,405,0,0,17,3,2084,0,0,86.42,1,2015,10,7,2016,3,5,2,22,8,2030,6,1,2015,10,7
918205645,3,462.18,595,8835,1,500.0,37.82,918205645,595,1,0,4,3,2371,0,2,188.47,1,2013,10,22,2016,8,4,19,12,48,2019,4,1,2016,6,6
484705396,3,7090.48,922,4431,0,10000.0,2909.52,484705396,922,0,0,14,3,2479,0,0,372.54,1,2014,11,21,2016,4,9,18,34,11,2019,1,1,2016,3,19
540548957,3,14839.03,873,8993,0,15000.0,160.97,540548957,873,0,0,17,3,2084,0,2,49.29,1,2012,6,18,2016,11,7,9,2,25,2031,12,1,2012,6,18
156947628,3,1972.91,487,4432,1,5000.0,3027.09,156947628,487,0,0,3,3,25,0,0,172.89,1,2014,4,28,2016,10,7,13,52,8,2026,2,1,2016,2,25
688087825,3,3323.16,646,355,1,10000.0,6676.84,688087825,646,0,0,5,3,13,0,0,93.78,1,2011,8,15,2016,3,22,15,44,16,2029,10,1,2016,1,24
829086036,3,1607.01,853,2478,0,5000.0,3392.99,829086036,853,0,0,5,3,602,0,0,0.0,0,2013,3,13,2016,4,13,12,30,17,2025,8,1,2013,3,13
727582642,3,554.05,542,2490,0,2500.0,1945.95,727582642,542,0,0,14,3,2487,0,2,184.07,1,2013,6,20,2016,10,3,16,37,21,2030,11,1,2013,6,20
355866858,3,6864.17,519,303,1,7500.0,635.83,355866858,519,0,0,4,3,245,0,2,24.97,1,2015,11,11,2016,1,26,20,39,47,2026,4,1,2015,11,11
626616792,3,1879.75,245,7479,0,5000.0,3120.25,626616792,245,0,0,0,3,868,0,0,424.59,1,2005,5,9,2016,8,22,18,12,41,2027,11,1,2016,7,2
158917225,3,1925.42,837,4304,0,5000.0,3074.58,158917225,837,0,0,14,3,2486,0,2,14.79,1,2010,10,15,2016,7,4,23,57,11,2020,12,1,2010,10,15
856392501,3,567.11,765,4687,1,1000.0,432.89,856392501,765,0,0,8,3,2490,0,0,288.52,1,2015,2,11,2016,8,24,18,29,35,2026,6,1,2016,1,2
355778332,3,2500.0,589,1732,0,2500.0,0.0,355778332,589,0,0,6,3,688,0,2,39.0,1,2015,10,20,2016,12,2,1,59,3,2018,6,1,2015,10,20
581238046,3,1982.4,288,5585,1,2500.0,517.6,581238046,288,0,0,8,3,2474,1,2,15.99,1,2012,1,9,2016,1,7,6,41,36,2028,8,1,2012,1,9
782744512,3,1246.65,437,1390,1,2500.0,1253.35,782744512,437,0,0,4,3,766,1,0,39.33,1,2015,11,17,2016,12,8,5,52,45,2018,7,1,2016,10,18
639556528,3,17105.07,798,6900,1,20000.0,2894.93,639556528,798,0,0,3,3,535,1,0,188.97,1,2012,10,16,2016,3,15,16,7,21,2029,10,1,2012,10,16
526171485,3,72.27,454,4852,0,1000.0,927.73,526171485,454,0,0,10,3,1412,0,1,300.06,1,2015,10,8,2016,9,30,8,58,55,2025,4,1,2016,7,14
646627386,3,224.62,439,5224,0,500.0,275.38,646627386,439,0,0,18,3,356,0,0,349.02,1,2014,4,26,2016,3,8,4,13,29,2027,2,1,2016,2,11
392460381,3,11148.38,981,9998,0,20000.0,8851.62,392460381,981,0,0,14,3,2472,0,1,437.78,1,2014,4,27,2016,12,16,19,39,42,2023,3,1,2014,4,27
297952999,3,14121.13,556,2386,0,15000.0,878.87,297952999,556,0,0,14,3,2485,0,1,40.4,1,2014,1,6,2016,10,30,9,19,12,2027,6,1,2016,2,15
184098190,3,2892.8,523,1008,0,10000.0,7107.2,184098190,523,0,0,13,3,604,0,1,234.42,1,2015,7,16,2016,10,4,14,5,9,2026,5,1,2015,7,16
640305543,3,3685.51,932,6168,1,5000.0,1314.49,640305543,932,0,0,5,3,157,0,1,228.64,1,2015,3,7,2016,8,30,2,15,22,2031,8,1,2016,2,12
163673920,3,13736.45,575,8711,0,15000.0,1263.55,163673920,575,0,0,14,3,2476,0,1,115.89,1,2015,7,18,2016,4,29,16,1,35,2024,2,1,2015,7,18
456044564,3,8295.14,746,5658,1,10000.0,1704.86,456044564,746,0,0,3,3,534,0,2,347.7,1,2012,10,5,2016,8,8,13,57,20,2024,9,1,2016,7,28
281425573,3,9663.66,155,8882,0,15000.0,5336.34,281425573,155,0,0,14,3,2479,0,0,21.03,1,2014,2,13,2016,2,15,12,20,13,2027,6,1,2014,2,13
268698859,3,144.75,232,5944,0,250.0,105.25,268698859,232,0,0,13,3,161,0,0,57.48,1,2015,10,17,2016,3,2,16,21,10,2031,11,1,2015,10,17
484705396,3,9016.13,922,4431,0,10000.0,983.87,484705396,922,0,0,14,3,2475,0,2,0.0,0,2014,11,21,2016,1,14,16,40,25,2028,12,1,2014,11,21
937856632,3,812.11,489,2966,0,1000.0,187.89,937856632,489,0,0,14,3,2479,0,1,282.67,1,2011,1,28,2016,2,25,17,22,50,2018,11,1,2016,2,23
976606382,3,7034.52,705,4364,1,7500.0,465.48,976606382,705,0,0,4,3,1490,0,2,165.88,1,2014,1,16,2016,2,3,13,7,48,2019,10,1,2014,1,16
286398427,3,117.92,367,2447,0,500.0,382.08,286398427,367,0,0,14,3,2479,0,1,28.75,1,2013,11,13,2016,5,23,17,10,29,2019,4,1,2013,11,13
183425826,3,269.87,253,2556,1,2500.0,2230.13,183425826,253,0,0,5,3,360,0,0,196.8,1,2011,11,7,2016,5,18,9,42,44,2021,12,1,2016,3,21
686592698,3,3044.88,824,4400,1,7500.0,4455.12,686592698,824,0,0,11,3,1612,1,2,159.22,1,2014,7,30,2016,5,16,23,18,34,2029,7,1,2014,7,30
286132980,3,10790.4,178,1493,0,15000.0,4209.6,286132980,178,0,0,13,3,606,0,2,512.98,1,2015,10,15,2016,6,7,16,57,35,2025,6,1,2015,10,15
525945542,3,14332.79,664,7488,0,15000.0,667.21,525945542,666,0,0,17,3,1065,1,1,170.45,1,2011,1,7,2016,2,21,17,39,50,2027,1,1,2011,1,7
175089467,3,13609.91,389,119,0,20000.0,6390.09,175089467,389,0,0,17,3,1065,0,0,98.21,1,2015,10,1,2016,12,14,13,44,26,2030,11,1,2016,8,27
409283554,3,1544.48,715,5895,1,5000.0,3455.52,409283554,715,0,0,4,3,488,0,1,82.46,1,2015,8,7,2016,2,22,15,17,44,2023,12,1,2015,8,7
314506271,3,53.79,815,2640,1,250.0,196.21,314506271,815,0,0,4,3,1741,0,0,130.85,1,2015,6,15,2016,8,5,13,19,36,2026,4,1,2016,8,4
211664203,3,17878.23,812,4485,0,20000.0,2121.77,211664203,812,0,0,2,3,2012,0,1,125.8,1,2013,6,27,2016,7,24,11,40,39,2024,7,1,2013,6,27
525185446,3,2731.97,642,654,1,7500.0,4768.03,525185446,642,0,0,5,3,601,0,3,61.32,1,2010,2,4,2016,3,4,5,20,35,2031,12,1,2010,2,4
964897225,3,1388.18,249,42,0,5000.0,3611.82,964897225,249,0,0,14,3,2487,0,1,107.9,1,2013,9,21,2016,3,29,7,55,40,2027,3,1,2013,9,21
838085703,3,1904.03,625,4062,1,5000.0,3095.97,838085703,625,0,0,3,3,529,0,2,10.53,1,2015,9,24,2016,10,21,2,19,50,2031,6,1,2016,7,20
220862277,3,19131.25,135,9864,0,20000.0,868.75,220862277,135,0,0,17,3,1065,0,1,17.28,1,2012,8,22,2016,2,15,3,12,49,2023,11,1,2012,8,22
712707413,3,13757.3,192,9163,1,15000.0,1242.7,712707413,192,0,0,16,3,2091,0,4,19.2,1,2012,7,20,2016,6,30,3,32,5,2029,3,1,2012,7,20
423667120,3,12286.58,622,6616,0,20000.0,7713.42,423667120,622,0,0,14,3,2488,0,2,51.64,1,2015,11,3,2016,9,15,20,45,37,2025,5,1,2016,9,1
644377927,3,638.81,509,3399,0,7500.0,6861.19,644377927,509,0,0,14,3,2477,1,1,42.84,1,2014,5,15,2016,5,1,5,14,15,2025,11,1,2016,3,17
353215513,3,3890.93,986,2705,0,7500.0,3609.07,353215513,986,0,0,5,3,1803,0,0,0.0,0,2013,7,4,2016,7,23,4,42,6,2028,5,1,2016,5,11
239875038,3,4777.15,383,8212,1,7500.0,2722.85,239875038,383,0,0,11,3,1629,0,0,145.8,1,2015,3,12,2016,10,24,18,37,39,2021,10,1,2016,10,14
882378447,3,36649.72,528,8792,1,50000.0,13350.28,882378447,528,0,0,3,3,34,0,2,74.02,1,2013,2,18,2016,6,7,15,40,17,2025,8,1,2013,2,18
768382180,3,1664.46,202,4626,0,2500.0,835.54,768382180,202,0,0,14,3,2479,0,1,64.05,1,2013,12,25,2016,10,3,12,18,23,2024,1,1,2013,12,25
305087790,3,9655.91,270,8196,0,15000.0,5344.09,305087790,270,0,0,11,3,1681,0,2,0.0,0,2013,9,18,2016,12,27,0,12,38,2025,8,1,2013,9,18
504846667,3,2723.97,280,3188,1,5000.0,2276.03,504846667,280,0,0,5,3,1810,0,1,66.86,1,2015,9,15,2016,11,17,3,36,30,2028,1,1,2015,9,15
